Scenario,Region,Variable,Year,Value
Evolving Policies,Newfoundland and Labrador,Interprovincial Out-Flows,2006,31347.58
Evolving Policies,Newfoundland and Labrador,Net Exports,2006,0
Evolving Policies,Newfoundland and Labrador,Net Interprovincial Out-Flows,2006,31331.92
Evolving Policies,Nova Scotia,Exports,2006,228.6
Evolving Policies,Nova Scotia,Imports,2006,24.59
Evolving Policies,Nova Scotia,Interprovincial In-Flows,2006,106.31
Evolving Policies,Nova Scotia,Interprovincial Out-Flows,2006,118.68
Evolving Policies,Nova Scotia,Net Exports,2006,204.01
Evolving Policies,Nova Scotia,Net Interprovincial Out-Flows,2006,12.37
Evolving Policies,Ontario,Exports,2006,10566
Evolving Policies,Ontario,Imports,2006,6104
Evolving Policies,Ontario,Interprovincial In-Flows,2006,4889
Evolving Policies,Ontario,Interprovincial Out-Flows,2006,5296
Evolving Policies,Ontario,Net Exports,2006,4462
Evolving Policies,Ontario,Net Interprovincial Out-Flows,2006,407
Evolving Policies,Prince Edward Island,Exports,2006,0
Evolving Policies,Prince Edward Island,Imports,2006,0
Evolving Policies,Prince Edward Island,Interprovincial In-Flows,2006,1262.82
Evolving Policies,Prince Edward Island,Interprovincial Out-Flows,2006,0
Evolving Policies,Prince Edward Island,Net Exports,2006,0
Evolving Policies,Prince Edward Island,Net Interprovincial Out-Flows,2006,-1262.82
Evolving Policies,Quebec,Exports,2006,11712
Evolving Policies,Quebec,Imports,2006,2534
Evolving Policies,Quebec,Interprovincial In-Flows,2006,37303
Evolving Policies,Quebec,Interprovincial Out-Flows,2006,3116
Evolving Policies,Quebec,Net Exports,2006,9178
Evolving Policies,Quebec,Net Interprovincial Out-Flows,2006,-34187
Evolving Policies,Saskatchewan,Exports,2006,594.67
Evolving Policies,Saskatchewan,Imports,2006,1147.08
Evolving Policies,Saskatchewan,Interprovincial In-Flows,2006,602.07
Evolving Policies,Saskatchewan,Interprovincial Out-Flows,2006,1183.28
Evolving Policies,Saskatchewan,Net Exports,2006,-552.41
Evolving Policies,Saskatchewan,Net Interprovincial Out-Flows,2006,581.21
Current Policies,Alberta,Exports,2007,154.75
Current Policies,Alberta,Imports,2007,222.9
Current Policies,Alberta,Interprovincial In-Flows,2007,1781.5
Current Policies,Alberta,Interprovincial Out-Flows,2007,1218.13
Current Policies,Alberta,Net Exports,2007,-68.15
Current Policies,Alberta,Net Interprovincial Out-Flows,2007,-563.37
Current Policies,British Columbia,Exports,2007,10078.97
Current Policies,British Columbia,Imports,2007,7288.71
Current Policies,British Columbia,Interprovincial In-Flows,2007,1101
Current Policies,British Columbia,Interprovincial Out-Flows,2007,1119.09
Current Policies,British Columbia,Net Exports,2007,2790.26
Current Policies,British Columbia,Net Interprovincial Out-Flows,2007,18.09
Current Policies,Canada,Exports,2007,50331
Current Policies,Canada,Imports,2007,19379.91
Current Policies,Canada,Interprovincial In-Flows,2007,46149.38
Current Policies,Canada,Interprovincial Out-Flows,2007,46159.51
Current Policies,Canada,Net Exports,2007,30951.09
Current Policies,Canada,Net Interprovincial Out-Flows,2007,10.13
Current Policies,Manitoba,Exports,2007,11092.81
Current Policies,Manitoba,Imports,2007,534.29
Current Policies,Manitoba,Interprovincial In-Flows,2007,173.57
Current Policies,Manitoba,Interprovincial Out-Flows,2007,1782.19
Current Policies,Manitoba,Net Exports,2007,10558.52
Current Policies,Manitoba,Net Interprovincial Out-Flows,2007,1608.62
Current Policies,New Brunswick,Exports,2007,1780.26
Current Policies,New Brunswick,Imports,2007,1138.5
Current Policies,New Brunswick,Interprovincial In-Flows,2007,1466.01
Current Policies,New Brunswick,Interprovincial Out-Flows,2007,1556.76
Current Policies,New Brunswick,Net Exports,2007,641.76
Current Policies,New Brunswick,Net Interprovincial Out-Flows,2007,90.75
Current Policies,Newfoundland and Labrador,Exports,2007,0
Current Policies,Newfoundland and Labrador,Imports,2007,0
Current Policies,Newfoundland and Labrador,Interprovincial In-Flows,2007,16.95
Current Policies,Newfoundland and Labrador,Interprovincial Out-Flows,2007,30094.86
Current Policies,Newfoundland and Labrador,Net Exports,2007,0
Current Policies,Newfoundland and Labrador,Net Interprovincial Out-Flows,2007,30077.91
Current Policies,Nova Scotia,Exports,2007,30.63
Current Policies,Nova Scotia,Imports,2007,62.92
Current Policies,Nova Scotia,Interprovincial In-Flows,2007,280.6
Current Policies,Nova Scotia,Interprovincial Out-Flows,2007,27.3
Current Policies,Nova Scotia,Net Exports,2007,-32.29
Current Policies,Nova Scotia,Net Interprovincial Out-Flows,2007,-253.3
Current Policies,Ontario,Exports,2007,11090
Current Policies,Ontario,Imports,2007,7070
Current Policies,Ontario,Interprovincial In-Flows,2007,4198
Current Policies,Ontario,Interprovincial Out-Flows,2007,5475
Current Policies,Ontario,Net Exports,2007,4020
Current Policies,Ontario,Net Interprovincial Out-Flows,2007,1277
Current Policies,Prince Edward Island,Exports,2007,0
Current Policies,Prince Edward Island,Imports,2007,0
Current Policies,Prince Edward Island,Interprovincial In-Flows,2007,1160.94
Current Policies,Prince Edward Island,Interprovincial Out-Flows,2007,0
Current Policies,Prince Edward Island,Net Exports,2007,0
Current Policies,Prince Edward Island,Net Interprovincial Out-Flows,2007,-1160.94
Current Policies,Quebec,Exports,2007,15712
Current Policies,Quebec,Imports,2007,3356
Current Policies,Quebec,Interprovincial In-Flows,2007,34939
Current Policies,Quebec,Interprovincial Out-Flows,2007,4046
Current Policies,Quebec,Net Exports,2007,12356
Current Policies,Quebec,Net Interprovincial Out-Flows,2007,-30893
Current Policies,Saskatchewan,Exports,2007,391.58
Current Policies,Saskatchewan,Imports,2007,203.34
Current Policies,Saskatchewan,Interprovincial In-Flows,2007,1031.83
Current Policies,Saskatchewan,Interprovincial Out-Flows,2007,840.18
Current Policies,Saskatchewan,Net Exports,2007,188.24
Current Policies,Saskatchewan,Net Interprovincial Out-Flows,2007,-191.65
Evolving Policies,Alberta,Exports,2007,154.75
Evolving Policies,Alberta,Imports,2007,222.9
Evolving Policies,Alberta,Interprovincial In-Flows,2007,1781.5
Evolving Policies,Alberta,Interprovincial Out-Flows,2007,1218.13
Evolving Policies,Alberta,Net Exports,2007,-68.15
Evolving Policies,Alberta,Net Interprovincial Out-Flows,2007,-563.37
Evolving Policies,British Columbia,Exports,2007,10078.97
Evolving Policies,British Columbia,Imports,2007,7288.71
Evolving Policies,British Columbia,Interprovincial In-Flows,2007,1101
Evolving Policies,British Columbia,Interprovincial Out-Flows,2007,1119.09
Evolving Policies,British Columbia,Net Exports,2007,2790.26
Evolving Policies,British Columbia,Net Interprovincial Out-Flows,2007,18.09
Evolving Policies,Canada,Exports,2007,50331
Evolving Policies,Canada,Imports,2007,19379.91
Evolving Policies,Canada,Interprovincial In-Flows,2007,46149.38
Evolving Policies,Canada,Interprovincial Out-Flows,2007,46159.51
Evolving Policies,Canada,Net Exports,2007,30951.09
Evolving Policies,Canada,Net Interprovincial Out-Flows,2007,10.13
Evolving Policies,Manitoba,Exports,2007,11092.81
Evolving Policies,Manitoba,Imports,2007,534.29
Evolving Policies,Manitoba,Interprovincial In-Flows,2007,173.57
Evolving Policies,Manitoba,Interprovincial Out-Flows,2007,1782.19
Evolving Policies,Manitoba,Net Exports,2007,10558.52
Evolving Policies,Manitoba,Net Interprovincial Out-Flows,2007,1608.62
Evolving Policies,New Brunswick,Exports,2007,1780.26
Evolving Policies,New Brunswick,Imports,2007,1138.5
Evolving Policies,New Brunswick,Interprovincial In-Flows,2007,1466.01
Evolving Policies,New Brunswick,Interprovincial Out-Flows,2007,1556.76
Evolving Policies,New Brunswick,Net Exports,2007,641.76
Evolving Policies,New Brunswick,Net Interprovincial Out-Flows,2007,90.75
Evolving Policies,Newfoundland and Labrador,Exports,2007,0
Evolving Policies,Newfoundland and Labrador,Imports,2007,0
Evolving Policies,Newfoundland and Labrador,Interprovincial In-Flows,2007,16.95
Evolving Policies,Newfoundland and Labrador,Interprovincial Out-Flows,2007,30094.86
Evolving Policies,Newfoundland and Labrador,Net Exports,2007,0
Evolving Policies,Newfoundland and Labrador,Net Interprovincial Out-Flows,2007,30077.91
Evolving Policies,Nova Scotia,Exports,2007,30.63
Evolving Policies,Nova Scotia,Imports,2007,62.92
Evolving Policies,Nova Scotia,Interprovincial In-Flows,2007,280.6
Evolving Policies,Nova Scotia,Interprovincial Out-Flows,2007,27.3
Evolving Policies,Nova Scotia,Net Exports,2007,-32.29
Evolving Policies,Nova Scotia,Net Interprovincial Out-Flows,2007,-253.3
Evolving Policies,Ontario,Exports,2007,11090
Evolving Policies,Ontario,Imports,2007,7070
Evolving Policies,Ontario,Interprovincial In-Flows,2007,4198
Evolving Policies,Ontario,Interprovincial Out-Flows,2007,5475
Evolving Policies,Ontario,Net Exports,2007,4020
Evolving Policies,Ontario,Net Interprovincial Out-Flows,2007,1277
Evolving Policies,Prince Edward Island,Exports,2007,0
Evolving Policies,Prince Edward Island,Imports,2007,0
Evolving Policies,Prince Edward Island,Interprovincial In-Flows,2007,1160.94
Evolving Policies,Prince Edward Island,Interprovincial Out-Flows,2007,0
Evolving Policies,Prince Edward Island,Net Exports,2007,0
Evolving Policies,Prince Edward Island,Net Interprovincial Out-Flows,2007,-1160.94
Evolving Policies,Quebec,Exports,2007,15712
Evolving Policies,Quebec,Imports,2007,3356
Evolving Policies,Quebec,Interprovincial In-Flows,2007,34939
Evolving Policies,Quebec,Interprovincial Out-Flows,2007,4046
Evolving Policies,Quebec,Net Exports,2007,12356
Evolving Policies,Quebec,Net Interprovincial Out-Flows,2007,-30893
Evolving Policies,Saskatchewan,Exports,2007,391.58
Evolving Policies,Saskatchewan,Imports,2007,203.34
Evolving Policies,Saskatchewan,Interprovincial In-Flows,2007,1031.83
Evolving Policies,Saskatchewan,Interprovincial Out-Flows,2007,840.18
Evolving Policies,Saskatchewan,Net Exports,2007,188.24
Evolving Policies,Saskatchewan,Net Interprovincial Out-Flows,2007,-191.65
